filepath,start_time,train_test_split,end_time,method,number of sample,test_return_mean,test_return_std,Sharper ratio,Loss_Probability,Conditional Loss,VaR,CVaR
../factor model/10_Industry_Portfolios_Daily.csv,20120101,20161231,20170401,naive policy 1/N portfolios,62,0.076725806,0.441871247,0.173638378,0.451612903,0.302178571,0.4346,0.046645161
../factor model/10_Industry_Portfolios_Daily.csv,20120101,20161231,20170401,Markowitz_revised,62,0.087637485,0.342495805,0.255879002,0.419354839,0.228619331,0.44509642,0.033915393
../factor model/10_Industry_Portfolios_Daily.csv,20120101,20161231,20170401,SAA_CVaR,62,0.086233744,0.385541366,0.22366924,0.451612903,0.255367306,0.531088361,0.040953098
../factor model/10_Industry_Portfolios_Daily.csv,20120101,20161231,20170401,Popescu 2007,62,0.087704063,0.355047555,0.24702061,0.419354839,0.240140787,0.463367409,0.036044397
../factor model/10_Industry_Portfolios_Daily.csv,20120101,20161231,20170401,Popescu 2 cluster portfolios (3factor),62,0.094473459,0.350839331,0.269278415,0.467741935,0.209313934,0.386548309,0.032191455
../factor model/10_Industry_Portfolios_Daily.csv,20120101,20161231,20170401,Popescu 2 cluster portfolios (3factor) bs,62,0.094513997,0.351032743,0.26924553,0.467741935,0.209522229,0.387325465,0.032192396
../factor model/10_Industry_Portfolios_Daily.csv,20120101,20161231,20170401,Popescu 3 cluster portfolios (3factor),62,0.111695108,0.373577446,0.298987824,0.435483871,0.215048777,0.411787506,0.038278962
../factor model/10_Industry_Portfolios_Daily.csv,20120101,20161231,20170401,Popescu 3 cluster portfolios (3factor) bs,62,0.111886764,0.373444119,0.299607783,0.435483871,0.214920376,0.411438716,0.038241117
../factor model/10_Industry_Portfolios_Daily.csv,20120101,20161231,20170401,Popescu 4 cluster portfolios (3factor),62,0.108572116,0.380990026,0.284973645,0.451612903,0.2168522,0.405574624,0.038579828
../factor model/10_Industry_Portfolios_Daily.csv,20120101,20161231,20170401,Popescu 4 cluster portfolios (3factor) bs,62,0.108487155,0.380837315,0.284864826,0.451612903,0.217145331,0.404688034,0.038538503
../factor model/10_Industry_Portfolios_Daily.csv,20120101,20161231,20170401,Popescu 5 cluster portfolios (3factor),62,0.094373756,0.416496234,0.226589698,0.451612903,0.257400439,0.410766513,0.043704005
../factor model/10_Industry_Portfolios_Daily.csv,20120101,20161231,20170401,Popescu 5 cluster portfolios (3factor) bs,62,0.094287757,0.416074102,0.226612895,0.451612903,0.257603191,0.412804038,0.04363577
../factor model/10_Industry_Portfolios_Daily.csv,20120101,20161231,20170401,Popescu 2 cluster portfolios (return),62,0.086900329,0.358545569,0.242368994,0.467741935,0.22360547,0.452435652,0.033308867
../factor model/10_Industry_Portfolios_Daily.csv,20120101,20161231,20170401,Popescu 2 cluster portfolios (return) bs,62,0.086779692,0.358867414,0.241815469,0.467741935,0.224068861,0.453761361,0.033350849
../factor model/10_Industry_Portfolios_Daily.csv,20120101,20161231,20170401,Popescu 3 cluster portfolios (return),62,0.08505055,0.398301438,0.213533124,0.451612903,0.260273738,0.416095638,0.040080214
../factor model/10_Industry_Portfolios_Daily.csv,20120101,20161231,20170401,Popescu 3 cluster portfolios (return) bs,62,0.084962934,0.39842282,0.213248162,0.451612903,0.260755143,0.418022554,0.040072765
../factor model/10_Industry_Portfolios_Daily.csv,20120101,20161231,20170401,Popescu 4 cluster portfolios (return),62,0.080730896,0.433601212,0.18618697,0.483870968,0.273171274,0.448969556,0.045157499
../factor model/10_Industry_Portfolios_Daily.csv,20120101,20161231,20170401,Popescu 4 cluster portfolios (return) bs,62,0.080639499,0.433402102,0.186061624,0.483870968,0.273400675,0.447223839,0.045080368
../factor model/10_Industry_Portfolios_Daily.csv,20120101,20161231,20170401,Popescu 5 cluster portfolios (return),62,0.078486904,0.440589668,0.178140591,0.467741935,0.286816192,0.442502208,0.046443254
../factor model/10_Industry_Portfolios_Daily.csv,20120101,20161231,20170401,Popescu 5 cluster portfolios (return) bs,62,0.078401504,0.440362595,0.178038518,0.483870968,0.27709592,0.440869334,0.046372763
../factor model/10_Industry_Portfolios_Daily.csv,20120101,20161231,20170701,naive policy 1/N portfolios,125,0.052936,0.446465009,0.118566963,0.472,0.305932203,0.6594,0.052808
../factor model/10_Industry_Portfolios_Daily.csv,20120101,20161231,20170701,Markowitz_revised,125,0.051724113,0.372812373,0.138740334,0.432,0.281349595,0.592599496,0.041504617
../factor model/10_Industry_Portfolios_Daily.csv,20120101,20161231,20170701,SAA_CVaR,125,0.057225233,0.386856768,0.147923567,0.448,0.285819296,0.59285125,0.040088069
