filepath,start_time,train_test_split,end_time,method,number of sample,test_return_mean,test_return_std,Sharper ratio,Loss_Probability,Conditional Loss,VaR,CVaR
../factor model/17_Industry_Portfolios_Daily.csv,20130101,20171231,20180401,naive policy 1/N portfolios,61,-0.03673577627772418,1.1478319958141363,-0.032004488820394104,0.4426229508196721,1.0108169934640523,2.258941176470588,0.15772999035679844
""
../factor model/17_Industry_Portfolios_Daily.csv,20130101,20171231,20180401,Markowitz_revised gamma = 0.1,61,-0.019302419795670808,1.1983107231161887,-0.016108025592456655,0.4426229508196721,1.0186363675399206,2.1899593220898605,0.16975729395878753
../factor model/17_Industry_Portfolios_Daily.csv,20130101,20171231,20180401,Markowitz_revised gamma = 0.3,61,-0.029392534099079368,0.9640354720836245,-0.030489058701908156,0.45901639344262296,0.8146841827892327,1.4478742280287145,0.13239840129321678
../factor model/17_Industry_Portfolios_Daily.csv,20130101,20171231,20180401,Markowitz_revised gamma = 0.5,61,-0.035873246003433265,0.9327165968347237,-0.03846103535111637,0.45901639344262296,0.7961030549312503,1.4617311631162864,0.12530381697274134
../factor model/17_Industry_Portfolios_Daily.csv,20130101,20171231,20180401,Markowitz_revised gamma = 0.7,61,-0.03865044117623091,0.9211024286851248,-0.04196106749105469,0.4426229508196721,0.8194300238514459,1.4676556923269977,0.12398220083967837
../factor model/17_Industry_Portfolios_Daily.csv,20130101,20171231,20180401,Markowitz_revised gamma = 0.9,61,-0.04019332765674859,0.9151425631877854,-0.04392029097274213,0.4426229508196721,0.8165595747771052,1.4709470558344544,0.12324797076229464
""
../factor model/17_Industry_Portfolios_Daily.csv,20130101,20171231,20180401,SAA_CVaR,61,-0.023723982049424632,0.9302453551466139,-0.025502929864869413,0.4918032786885246,0.7456453501700099,1.520877668967485,0.12534233093126337
../factor model/17_Industry_Portfolios_Daily.csv,20130101,20171231,20180401,Popescu 2007,61,-0.04485794024809435,0.8993427854914872,-0.04987857908214571,0.4426229508196721,0.8095881482236558,1.4808659975287668,0.12102741453134785
""
../factor model/17_Industry_Portfolios_Daily.csv,20130101,20171231,20180401,Popescu 2 cluster portfolios (3factor),61,-0.015196789132291154,1.0233561631440342,-0.014849951248255933,0.45901639344262296,0.8598993654035659,1.750425618557698,0.1373117368045303
../factor model/17_Industry_Portfolios_Daily.csv,20130101,20171231,20180401,Popescu 2 cluster portfolios (3factor) bs,61,-0.015285053627217276,1.0227841355228517,-0.014944554863870165,0.45901639344262296,0.8597227537688453,1.7496022017750699,0.13720454526853018
../factor model/17_Industry_Portfolios_Daily.csv,20130101,20171231,20180401,Popescu 3 cluster portfolios (3factor),61,-0.012119331309112268,1.1217473635790893,-0.010803975745879065,0.45901639344262296,0.9051728517830453,1.9925266941244661,0.15287085564085026
../factor model/17_Industry_Portfolios_Daily.csv,20130101,20171231,20180401,Popescu 3 cluster portfolios (3factor) bs,61,-0.012544581343109845,1.1198689474059373,-0.011201829796395456,0.45901639344262296,0.9044205671125115,1.9896244115515627,0.15257323024684896
../factor model/17_Industry_Portfolios_Daily.csv,20130101,20171231,20180401,Popescu 4 cluster portfolios (3factor),61,-0.013129471668853487,1.1087667568013224,-0.011841509125625895,0.45901639344262296,0.8985352792988878,1.8697593852277248,0.1522436875005072
../factor model/17_Industry_Portfolios_Daily.csv,20130101,20171231,20180401,Popescu 4 cluster portfolios (3factor) bs,61,-0.013508953712554153,1.1075097304783434,-0.01219759370124858,0.45901639344262296,0.8982273934202888,1.8662956639239727,0.1520014994150785
../factor model/17_Industry_Portfolios_Daily.csv,20130101,20171231,20180401,Popescu 5 cluster portfolios (3factor),61,-0.019471070665230125,1.1012722629039569,-0.017680523991303154,0.45901639344262296,0.8979812527075812,1.8865148115122408,0.1508366022938057
../factor model/17_Industry_Portfolios_Daily.csv,20130101,20171231,20180401,Popescu 5 cluster portfolios (3factor) bs,61,-0.01976222073090423,1.0997728995102838,-0.017969365075011505,0.45901639344262296,0.8973618848442121,1.88502693096627,0.1505736289268626
""
../factor model/17_Industry_Portfolios_Daily.csv,20130101,20171231,20180401,Popescu 2 cluster portfolios (5factor),61,-0.0171365271113988,1.0227801461025983,-0.016754849198724844,0.45901639344262296,0.8571624831193939,1.7756889900762205,0.13793661251660916
../factor model/17_Industry_Portfolios_Daily.csv,20130101,20171231,20180401,Popescu 2 cluster portfolios (5factor) bs,61,-0.017231925365809746,1.0223513419648655,-0.016855189266628795,0.45901639344262296,0.8571555531569313,1.7730305898976866,0.13786046310601582
../factor model/17_Industry_Portfolios_Daily.csv,20130101,20171231,20180401,Popescu 3 cluster portfolios (5factor),61,-0.014096807560387413,1.1169926769291356,-0.012620322273860122,0.45901639344262296,0.9045866571582583,1.9817112963631207,0.15227901184198564
../factor model/17_Industry_Portfolios_Daily.csv,20130101,20171231,20180401,Popescu 3 cluster portfolios (5factor) bs,61,-0.014469536026490894,1.1158534555452668,-0.012967236830772094,0.45901639344262296,0.904350411031638,1.9789091690636675,0.15206272860293935
../factor model/17_Industry_Portfolios_Daily.csv,20130101,20171231,20180401,Popescu 4 cluster portfolios (5factor),61,-0.013348018427451615,1.1121793982613255,-0.012001677470665818,0.45901639344262296,0.9000901141353053,1.9332614363810487,0.1516598270290897
../factor model/17_Industry_Portfolios_Daily.csv,20130101,20171231,20180401,Popescu 4 cluster portfolios (5factor) bs,61,-0.013844224048298952,1.1108607877618561,-0.01246260935737237,0.45901639344262296,0.899865025014385,1.930207946889963,0.15143131701478668
../factor model/17_Industry_Portfolios_Daily.csv,20130101,20171231,20180401,Popescu 5 cluster portfolios (5factor),61,-0.015633371743422587,1.1066541094190285,-0.014126701026420801,0.45901639344262296,0.8953887068929995,1.9204816818506738,0.15099510387762236
../factor model/17_Industry_Portfolios_Daily.csv,20130101,20171231,20180401,Popescu 5 cluster portfolios (5factor) bs,61,-0.016132067655714073,1.1054168318926796,-0.01459365118232637,0.45901639344262296,0.8952170706866213,1.9177903404546803,0.150765127557152
""
../factor model/17_Industry_Portfolios_Daily.csv,20130101,20171231,20180401,Popescu 2 cluster portfolios (return),61,-0.028039715127863997,0.9804881856498917,-0.028597708303112885,0.47540983606557374,0.8120308467110637,1.5421560237359726,0.13325015005614144
../factor model/17_Industry_Portfolios_Daily.csv,20130101,20171231,20180401,Popescu 2 cluster portfolios (return) bs,61,-0.028198163339737035,0.9801468299207655,-0.028769325655031253,0.47540983606557374,0.8120432330104269,1.5433658750969492,0.13314367287696544
../factor model/17_Industry_Portfolios_Daily.csv,20130101,20171231,20180401,Popescu 3 cluster portfolios (return),61,-0.03014325027466229,1.0785883842085118,-0.02794694502183237,0.45901639344262296,0.9208018181694921,1.969214566066505,0.1475600651757666
../factor model/17_Industry_Portfolios_Daily.csv,20130101,20171231,20180401,Popescu 3 cluster portfolios (return) bs,61,-0.030442927275261922,1.0770814009725418,-0.028264277191838733,0.47540983606557374,0.8888094127840244,1.9678784439390091,0.147275512428119
../factor model/17_Industry_Portfolios_Daily.csv,20130101,20171231,20180401,Popescu 4 cluster portfolios (return),61,-0.04040224372274244,1.1082939521066257,-0.0364544475280647,0.4426229508196721,0.9808714871642116,2.2013535122004795,0.15246096378209292
../factor model/17_Industry_Portfolios_Daily.csv,20130101,20171231,20180401,Popescu 4 cluster portfolios (return) bs,61,-0.040766915513099286,1.106546728848829,-0.03684156705746194,0.4426229508196721,0.9804638283149633,2.199849094895313,0.15212984275743777
../factor model/17_Industry_Portfolios_Daily.csv,20130101,20171231,20180401,Popescu 5 cluster portfolios (return),61,-0.03634649469705364,1.1462341704995773,-0.03170948452986033,0.4426229508196721,1.0108084783474527,2.3339237140404743,0.1566347005709578
../factor model/17_Industry_Portfolios_Daily.csv,20130101,20171231,20180401,Popescu 5 cluster portfolios (return) bs,61,-0.036699306502862884,1.1445445669536822,-0.03206455000746864,0.4426229508196721,1.010368436558634,2.332295793207233,0.15631512544707116
""
""
""
filepath,start_time,train_test_split,end_time,method,number of sample,test_return_mean,test_return_std,Sharper ratio,Loss_Probability,Conditional Loss,VaR,CVaR
../factor model/17_Industry_Portfolios_Daily.csv,20130101,20171231,20180701,naive policy 1/N portfolios,125,0.00955294117647059,0.9804939606469036,0.009742988289461586,0.44,0.8193700534759359,1.5601176470588236,0.14325082352941174
""
../factor model/17_Industry_Portfolios_Daily.csv,20130101,20171231,20180701,Markowitz_revised gamma = 0.1,125,0.004423485582592383,1.0327739170651948,0.004283111249713277,0.408,0.9529547962038171,1.7794539358735664,0.1511324349420044
../factor model/17_Industry_Portfolios_Daily.csv,20130101,20171231,20180701,Markowitz_revised gamma = 0.3,125,0.006927283103022491,0.8317794936363169,0.008328268677000279,0.424,0.7250473801567606,1.4371410044786255,0.11927752887608244
../factor model/17_Industry_Portfolios_Daily.csv,20130101,20171231,20180701,Markowitz_revised gamma = 0.5,125,0.005993413585441248,0.8076286191258608,0.007421001984709552,0.432,0.6888871815973578,1.4364360684045163,0.11504379536472392
../factor model/17_Industry_Portfolios_Daily.csv,20130101,20171231,20180701,Markowitz_revised gamma = 0.7,125,0.0055937528743140305,0.7995747277917794,0.006995910050537169,0.432,0.6824845529048407,1.3602492419134151,0.11333575988986394
../factor model/17_Industry_Portfolios_Daily.csv,20130101,20171231,20180701,Markowitz_revised gamma = 0.9,125,0.005371719329348676,0.7957207909787023,0.006750759047959138,0.44,0.6671169639986712,1.317923244958771,0.11238685140802142
""
../factor model/17_Industry_Portfolios_Daily.csv,20130101,20171231,20180701,SAA_CVaR,125,0.022240866255685672,0.8105558813639236,0.02743902890231446,0.464,0.6330887816087016,1.3088390524306537,0.1151979891215034
../factor model/17_Industry_Portfolios_Daily.csv,20130101,20171231,20180701,Popescu 2007,125,0.004699109370800049,0.7868300842403018,0.005972203484488167,0.448,0.6503952049751929,1.2608721631797795,0.1101931557322695
""
../factor model/17_Industry_Portfolios_Daily.csv,20130101,20171231,20180701,Popescu 2 cluster portfolios (3factor),125,0.018623120398120096,0.8749782421076949,0.021284095423058425,0.432,0.7354676140429234,1.3756929694203857,0.12629023188324534
../factor model/17_Industry_Portfolios_Daily.csv,20130101,20171231,20180701,Popescu 2 cluster portfolios (3factor) bs,125,0.01854859640120645,0.8745611264168425,0.021209033698080956,0.432,0.7352932393888824,1.3751394752250792,0.1262118503456479
../factor model/17_Industry_Portfolios_Daily.csv,20130101,20171231,20180701,Popescu 3 cluster portfolios (3factor),125,0.01756917281592861,0.9389419505162862,0.01871167094650317,0.456,0.727644349843476,1.747222962604651,0.13921843086972183
../factor model/17_Industry_Portfolios_Daily.csv,20130101,20171231,20180701,Popescu 3 cluster portfolios (3factor) bs,125,0.01752149256386253,0.9376252377593515,0.018687095716124005,0.456,0.7268207483643608,1.7441949160209453,0.1390101995498741
../factor model/17_Industry_Portfolios_Daily.csv,20130101,20171231,20180701,Popescu 4 cluster portfolios (3factor),125,0.018963275228949927,0.92670112701233,0.02046320510053466,0.432,0.7555224787989703,1.7565679218923396,0.13777565898344418
../factor model/17_Industry_Portfolios_Daily.csv,20130101,20171231,20180701,Popescu 4 cluster portfolios (3factor) bs,125,0.01886177427780046,0.9258229911794831,0.020372981074677003,0.424,0.7693274883339848,1.7562380644101312,0.13762957142567003
../factor model/17_Industry_Portfolios_Daily.csv,20130101,20171231,20180701,Popescu 5 cluster portfolios (3factor),125,0.01935505305993751,0.9228651513048599,0.020972785712594047,0.424,0.7659939560052885,1.7532098931925089,0.13711289489328016
../factor model/17_Industry_Portfolios_Daily.csv,20130101,20171231,20180701,Popescu 5 cluster portfolios (3factor) bs,125,0.019375787261116103,0.9220235182357082,0.021014417612895242,0.424,0.7654947772808434,1.7497538902814662,0.13695890745635478
""
../factor model/17_Industry_Portfolios_Daily.csv,20130101,20171231,20180701,Popescu 2 cluster portfolios (5factor),125,0.017005295927009785,0.8707295101621068,0.019529940961624064,0.416,0.7559906096366827,1.3934063366793206,0.1266441634878231
../factor model/17_Industry_Portfolios_Daily.csv,20130101,20171231,20180701,Popescu 2 cluster portfolios (5factor) bs,125,0.016980129647234436,0.8704547682240216,0.01950719355800508,0.416,0.7559105110687622,1.393668890506975,0.12658301064315108
../factor model/17_Industry_Portfolios_Daily.csv,20130101,20171231,20180701,Popescu 3 cluster portfolios (5factor),125,0.01700256238928083,0.9329782460510836,0.01822396445066725,0.448,0.7351537117331371,1.743142710557424,0.13869527729819003
