filepath,start_time,train_test_split,end_time,method,number of sample,test_return_mean,test_return_std,Sharper ratio,Loss_Probability,Conditional Loss,VaR,CVaR
../factor model/17_Industry_Portfolios_Monthly.csv,200701,201112,201301,naive policy 1/N portfolios,12,1.3009803921568628,3.1245268461485427,0.41637676877717344,0.25,2.6656862745098038,3.6365294117647053,0.588235294117647
../factor model/17_Industry_Portfolios_Monthly.csv,200701,201112,201301,Markowitz_revised,12,0.7865261530982416,1.6455257045230152,0.47797864897299197,0.4166666666666667,0.9044882759134226,1.2570793224110337,0.12363557984706582
../factor model/17_Industry_Portfolios_Monthly.csv,200701,201112,201301,SAA_CVaR,12,1.1252637204824913,2.013769784506066,0.5587846878725982,0.25,1.7499851554961776,1.903942528153951,0.18895178122800035
../factor model/17_Industry_Portfolios_Monthly.csv,200701,201112,201301,Popescu 2007,12,0.7859934605143503,1.6447796839355862,0.4778715764737837,0.4166666666666667,0.9052526538526905,1.2526059326502574,0.12374667513272991
../factor model/17_Industry_Portfolios_Monthly.csv,200701,201112,201301,Popescu 2 cluster portfolios (3factor),12,0.8969382030837978,1.597983159182979,0.561293902210075,0.3333333333333333,0.9450366814909873,1.2726885618358792,0.13454209654410712
../factor model/17_Industry_Portfolios_Monthly.csv,200701,201112,201301,Popescu 2 cluster portfolios (3factor) bs,12,0.844481660331074,1.5924042753172165,0.5303186341689821,0.3333333333333333,1.0066543959848473,1.3136865169486196,0.12272410145998623
../factor model/17_Industry_Portfolios_Monthly.csv,200701,201112,201301,Popescu 3 cluster portfolios (3factor),12,0.91647772058969,1.6191307453807315,0.566030707034832,0.25,1.4488361228089242,1.6868452118570234,0.16153647609881
../factor model/17_Industry_Portfolios_Monthly.csv,200701,201112,201301,Popescu 3 cluster portfolios (3factor) bs,12,0.8926347136985492,1.6245745655282884,0.5494575211500231,0.25,1.4842612553772119,1.7316549960639542,0.1598805603666289
../factor model/17_Industry_Portfolios_Monthly.csv,200701,201112,201301,Popescu 4 cluster portfolios (3factor),12,1.1939769417551644,1.6803127049784283,0.7105682997085311,0.25,1.2395438967386165,1.3838567744022954,0.17118574583575927
../factor model/17_Industry_Portfolios_Monthly.csv,200701,201112,201301,Popescu 4 cluster portfolios (3factor) bs,12,1.1508469099078582,1.6605579941355357,0.6930483090456433,0.25,1.2600283926104263,1.4046261995784532,0.16320455497627348
