filepath,start_time,train_test_split,end_time,method,number of sample,test_return_mean,test_return_std,Sharper ratio,Loss_Probability,Conditional Loss,VaR,CVaR
../factor model/10_Industry_Portfolios_Daily.csv,20120101,20161231,20180101,naive policy 1/N portfolios,251,0.0609800796812749,0.4176228444908529,0.14601710726724992,0.4103585657370518,0.3081359223300971,0.556,0.04813545816733068
""
../factor model/10_Industry_Portfolios_Daily.csv,20120101,20161231,20180101,Markowitz_revised gamma = 0.1,251,0.04304823153063388,0.4334133586562596,0.09932373027010334,0.43824701195219123,0.3130540063568059,0.630529738028568,0.0554413118569217
../factor model/10_Industry_Portfolios_Daily.csv,20120101,20161231,20180101,Markowitz_revised gamma = 0.5,251,0.04510685597096383,0.36782475002726933,0.1226313780342942,0.4541832669322709,0.2693086018215956,0.5613594501133123,0.039727154446137385
../factor model/10_Industry_Portfolios_Daily.csv,20120101,20161231,20180101,Markowitz_revised gamma = 0.9,251,0.046943204787799626,0.37114065041074545,0.12648359789165392,0.44621513944223107,0.27642989074456836,0.6014251878678281,0.03937341617605918
../factor model/10_Industry_Portfolios_Daily.csv,20120101,20161231,20180101,Markowitz_revised gamma = 1,251,0.047364801899419356,0.37181082551461003,0.12738951813429164,0.43824701195219123,0.2817220832317504,0.601236887836124,0.039361014774370574
../factor model/10_Industry_Portfolios_Daily.csv,20120101,20161231,20180101,Markowitz_revised gamma = 2,251,0.0484680137337527,0.3739607892169714,0.12960720784454127,0.43824701195219123,0.2830656119314576,0.6068076871975818,0.039276683733829705
../factor model/10_Industry_Portfolios_Daily.csv,20120101,20161231,20180101,Markowitz_revised gamma = 3,251,0.04869797132590549,0.374632979471369,0.12998847937685953,0.43824701195219123,0.2835325320479502,0.6086646198046368,0.03924950893632882
../factor model/10_Industry_Portfolios_Daily.csv,20120101,20161231,20180101,Markowitz_revised gamma = 4,251,0.04881295144165572,0.3749902732980263,0.13017124687621234,0.43824701195219123,0.2837659798576582,0.6095930666377445,0.03923592078786116
../factor model/10_Industry_Portfolios_Daily.csv,20120101,20161231,20180101,Markowitz_revised gamma = 5,251,0.04888193648097895,0.3752114268118282,0.13027837903639772,0.44223107569721115,0.28134884795671833,0.6101608752339667,0.03922776945311362
""
filepath,start_time,train_test_split,end_time,method,number of sample,test_return_mean,test_return_std,Sharper ratio,Loss_Probability,Conditional Loss,VaR,CVaR
../factor model/10_Industry_Portfolios_Daily.csv,20120101,20161231,20180101,naive policy 1/N portfolios,251,0.0609800796812749,0.4176228444908529,0.14601710726724992,0.4103585657370518,0.3081359223300971,0.556,0.04813545816733068
""
../factor model/10_Industry_Portfolios_Daily.csv,20120101,20161231,20180101,Markowitz_revised gamma = 0.1,251,0.04304823153063388,0.4334133586562596,0.09932373027010334,0.43824701195219123,0.3130540063568059,0.630529738028568,0.0554413118569217
../factor model/10_Industry_Portfolios_Daily.csv,20120101,20161231,20180101,Markowitz_revised gamma = 0.5,251,0.04510685597096383,0.36782475002726933,0.1226313780342942,0.4541832669322709,0.2693086018215956,0.5613594501133123,0.039727154446137385
../factor model/10_Industry_Portfolios_Daily.csv,20120101,20161231,20180101,Markowitz_revised gamma = 0.9,251,0.046943204787799626,0.37114065041074545,0.12648359789165392,0.44621513944223107,0.27642989074456836,0.6014251878678281,0.03937341617605918
../factor model/10_Industry_Portfolios_Daily.csv,20120101,20161231,20180101,Markowitz_revised gamma = 1,251,0.047364801899419356,0.37181082551461003,0.12738951813429164,0.43824701195219123,0.2817220832317504,0.601236887836124,0.039361014774370574
../factor model/10_Industry_Portfolios_Daily.csv,20120101,20161231,20180101,Markowitz_revised gamma = 3,251,0.04869797132590549,0.374632979471369,0.12998847937685953,0.43824701195219123,0.2835325320479502,0.6086646198046368,0.03924950893632882
../factor model/10_Industry_Portfolios_Daily.csv,20120101,20161231,20180101,Markowitz_revised gamma = 5,251,0.04888193648097895,0.3752114268118282,0.13027837903639772,0.44223107569721115,0.28134884795671833,0.6101608752339667,0.03922776945311362
../factor model/10_Industry_Portfolios_Daily.csv,20120101,20161231,20180101,Markowitz_revised gamma = 7,251,0.04896077882530569,0.3754703540568366,0.1303985209386046,0.44223107569721115,0.2815235722471074,0.6113042097418296,0.039218451721730795
../factor model/10_Industry_Portfolios_Daily.csv,20120101,20161231,20180101,Markowitz_revised gamma = 9,251,0.04900458673196653,0.37561705040813953,0.13046422327931845,0.44223107569721115,0.28163032077432637,0.6119394541987765,0.03921327375848882
../factor model/10_Industry_Portfolios_Daily.csv,20120101,20161231,20180101,Markowitz_revised gamma = 11,251,0.0490324515824896,0.3757114795057528,0.13050559872961995,0.44223107569721115,0.28169828447121226,0.612343620972009,0.03920998075433821
""
filepath,start_time,train_test_split,end_time,method,number of sample,test_return_mean,test_return_std,Sharper ratio,Loss_Probability,Conditional Loss,VaR,CVaR
../factor model/10_Industry_Portfolios_Daily.csv,20120101,20161231,20180101,naive policy 1/N portfolios,251,0.0609800796812749,0.4176228444908529,0.14601710726724992,0.4103585657370518,0.3081359223300971,0.556,0.04813545816733068
""
../factor model/10_Industry_Portfolios_Daily.csv,20120101,20161231,20180101,Markowitz_revised gamma = 1,251,0.047364801899419356,0.37181082551461003,0.12738951813429164,0.43824701195219123,0.2817220832317504,0.601236887836124,0.039361014774370574
../factor model/10_Industry_Portfolios_Daily.csv,20120101,20161231,20180101,Markowitz_revised gamma = 3,251,0.04869797132590549,0.374632979471369,0.12998847937685953,0.43824701195219123,0.2835325320479502,0.6086646198046368,0.03924950893632882
../factor model/10_Industry_Portfolios_Daily.csv,20120101,20161231,20180101,Markowitz_revised gamma = 5,251,0.04888193648097895,0.3752114268118282,0.13027837903639772,0.44223107569721115,0.28134884795671833,0.6101608752339667,0.03922776945311362
../factor model/10_Industry_Portfolios_Daily.csv,20120101,20161231,20180101,Markowitz_revised gamma = 7,251,0.04896077882530569,0.3754703540568366,0.1303985209386046,0.44223107569721115,0.2815235722471074,0.6113042097418296,0.039218451721730795
../factor model/10_Industry_Portfolios_Daily.csv,20120101,20161231,20180101,Markowitz_revised gamma = 9,251,0.04900458673196653,0.37561705040813953,0.13046422327931845,0.44223107569721115,0.28163032077432637,0.6119394541987765,0.03921327375848882
../factor model/10_Industry_Portfolios_Daily.csv,20120101,20161231,20180101,Markowitz_revised gamma = 11,251,0.0490324515824896,0.3757114795057528,0.13050559872961995,0.44223107569721115,0.28169828447121226,0.612343620972009,0.03920998075433821
""
filepath,start_time,train_test_split,end_time,method,number of sample,test_return_mean,test_return_std,Sharper ratio,Loss_Probability,Conditional Loss,VaR,CVaR
../factor model/10_Industry_Portfolios_Daily.csv,20120101,20161231,20180101,naive policy 1/N portfolios,251,0.0609800796812749,0.4176228444908529,0.14601710726724992,0.4103585657370518,0.3081359223300971,0.556,0.04813545816733068
""
