filepath,start_time,train_test_split,end_time,method,number of sample,test_return_mean,test_return_std,Sharper ratio,Loss_Probability,Conditional Loss,VaR,CVaR
../factor model/10_Industry_Portfolios_Monthly.csv,200501,200712,201001,naive policy 1/N portfolios,24,-0.48000000000000015,6.767883839625697,-0.07092320308301078,0.4583333333333333,6.494272727272727,9.737549999999999,1.1379166666666667
""
../factor model/10_Industry_Portfolios_Monthly.csv,200501,200712,201001,Markowitz_revised gamma = 0.1,24,-0.7529655052479948,5.690374114283692,-0.1323226716074675,0.5,5.354938439425315,10.012241562750463,0.9586218504039913
../factor model/10_Industry_Portfolios_Monthly.csv,200501,200712,201001,Markowitz_revised gamma = 0.5,24,-0.47096943497242894,5.102858340134052,-0.09229522036076286,0.4166666666666667,5.563972286312802,8.987725327121765,0.9405214908207524
../factor model/10_Industry_Portfolios_Monthly.csv,200501,200712,201001,Markowitz_revised gamma = 0.9,24,-0.4171821157561639,5.114670682784808,-0.08156578236020835,0.4166666666666667,5.507153057476923,9.039066609348563,0.9418081331343037
""
../factor model/10_Industry_Portfolios_Monthly.csv,200501,200712,201001,SAA_CVaR,24,-0.5783747139590094,5.375247409440125,-0.10759964517042607,0.4166666666666667,6.144465082428659,8.8766563516635,0.85490446912854
../factor model/10_Industry_Portfolios_Monthly.csv,200501,200712,201001,Popescu 2007,24,-0.35905529076597326,5.106175012887764,-0.07031785825196615,0.4166666666666667,5.385226145220403,9.089371919494008,0.9414482655362435
""
../factor model/10_Industry_Portfolios_Monthly.csv,200501,200712,201001,Popescu 2 cluster portfolios (3factor),24,-0.275608861427091,5.199401343965708,-0.05300780670585385,0.375,5.847620172874913,8.615821091294169,0.9388736310141028
../factor model/10_Industry_Portfolios_Monthly.csv,200501,200712,201001,Popescu 3 cluster portfolios (3factor),24,-0.34004505228610166,5.212812208545781,-0.0652325536931176,0.4166666666666667,5.3213963429611,8.954018148146778,0.9623254285988843
../factor model/10_Industry_Portfolios_Monthly.csv,200501,200712,201001,Popescu 4 cluster portfolios (3factor),24,-0.4758272392389809,5.366684624788327,-0.08866316404007968,0.375,6.27936699916789,8.793422315227968,0.9738072717637841
""
../factor model/10_Industry_Portfolios_Monthly.csv,200501,200712,201001,Popescu 2 cluster portfolios (return),24,-0.446099732475804,5.229383355807476,-0.0853063740259909,0.4166666666666667,5.737391091613477,7.874040079111847,0.8994745342734327
../factor model/10_Industry_Portfolios_Monthly.csv,200501,200712,201001,Popescu 3 cluster portfolios (return),24,-0.5088822932642346,5.741944071294773,-0.0886254353831567,0.4583333333333333,5.556980260110886,9.561644076524829,1.0548504912468781
../factor model/10_Industry_Portfolios_Monthly.csv,200501,200712,201001,Popescu 4 cluster portfolios (return),24,-0.3627287208869851,5.582890258874068,-0.06497149398744202,0.5,4.831838300723173,7.346996929277715,0.9355863953645837
""
""
filepath,start_time,train_test_split,end_time,method,number of sample,test_return_mean,test_return_std,Sharper ratio,Loss_Probability,Conditional Loss,VaR,CVaR
../factor model/10_Industry_Portfolios_Monthly.csv,200601,200812,201101,naive policy 1/N portfolios,24,2.12075,5.709415529412796,0.3714478284291415,0.2916666666666667,5.588571428571428,7.48555,0.7220416666666667
""
../factor model/10_Industry_Portfolios_Monthly.csv,200601,200812,201101,Markowitz_revised gamma = 0.1,24,1.5935959817566125,4.1470242870828145,0.3842745717020174,0.3333333333333333,3.256250139793002,5.536777999688447,0.6366921307223702
../factor model/10_Industry_Portfolios_Monthly.csv,200601,200812,201101,Markowitz_revised gamma = 0.5,24,1.5195874959731503,4.148680865663448,0.36628208945884805,0.375,3.023602211261895,5.754403813422464,0.6535615245657095
../factor model/10_Industry_Portfolios_Monthly.csv,200601,200812,201101,Markowitz_revised gamma = 0.9,24,1.530119191552399,4.1652759072969205,0.36735122128929476,0.375,3.028629264020425,5.797421822109222,0.657130601130739
""
../factor model/10_Industry_Portfolios_Monthly.csv,200601,200812,201101,SAA_CVaR,24,1.7477862711961143,4.262564244224875,0.4100316549044623,0.3333333333333333,3.2664984154411503,5.5117761631709765,0.6209029060002
../factor model/10_Industry_Portfolios_Monthly.csv,200601,200812,201101,Popescu 2007,24,1.5319518573360973,4.169770533843992,0.36739476306957225,0.375,3.031560612900184,5.8068054044933,0.6580293833860346
""
../factor model/10_Industry_Portfolios_Monthly.csv,200601,200812,201101,Popescu 2 cluster portfolios (3factor),24,1.3579598202962604,4.215003004579145,0.32217291869566494,0.375,3.3331633414747075,6.029849374931419,0.6552170729515612
../factor model/10_Industry_Portfolios_Monthly.csv,200601,200812,201101,Popescu 3 cluster portfolios (3factor),24,1.3423672858447322,4.211884049605238,0.31870945876835016,0.375,3.2649196831633933,6.144550200346579,0.653358571428306
../factor model/10_Industry_Portfolios_Monthly.csv,200601,200812,201101,Popescu 4 cluster portfolios (3factor),24,1.2625392698556568,4.325814589976545,0.29186162365375495,0.375,3.368048564929777,6.203225471850395,0.686547754258358
""
../factor model/10_Industry_Portfolios_Monthly.csv,200601,200812,201101,Popescu 2 cluster portfolios (return),24,1.5922647321467054,4.209124293950644,0.3782888365722792,0.2916666666666667,4.000795539149572,5.706407164729784,0.578579525702223
../factor model/10_Industry_Portfolios_Monthly.csv,200601,200812,201101,Popescu 3 cluster portfolios (return),24,1.758183575513548,4.389861810117195,0.400510004998679,0.2916666666666667,4.0863822286803915,6.21854334789667,0.5697361943839208
../factor model/10_Industry_Portfolios_Monthly.csv,200601,200812,201101,Popescu 4 cluster portfolios (return),24,1.817274984432056,4.561005184365653,0.3984373862720797,0.2916666666666667,4.237235749387635,6.156994083033644,0.6086306628413619
""
""
filepath,start_time,train_test_split,end_time,method,number of sample,test_return_mean,test_return_std,Sharper ratio,Loss_Probability,Conditional Loss,VaR,CVaR
../factor model/10_Industry_Portfolios_Monthly.csv,200701,200912,201201,naive policy 1/N portfolios,24,1.0057500000000001,5.022360088062849,0.20025445853443838,0.4166666666666667,3.8501999999999996,7.0298,0.619125
""
../factor model/10_Industry_Portfolios_Monthly.csv,200701,200912,201201,Markowitz_revised gamma = 0.1,24,1.2530900417061162,3.515404385304135,0.3564568693560713,0.4166666666666667,2.2119786320835,4.490575884644086,0.4528607442101422
../factor model/10_Industry_Portfolios_Monthly.csv,200701,200912,201201,Markowitz_revised gamma = 0.5,24,1.2342916781232136,3.343651102694585,0.3691448779235732,0.4583333333333333,1.8079700142794148,3.6106216562532167,0.42026653951201004
../factor model/10_Industry_Portfolios_Monthly.csv,200701,200912,201201,Markowitz_revised gamma = 0.9,24,1.2453644556337469,3.33045194227673,0.3739325704794297,0.4583333333333333,1.76619284765581,3.4522277328474855,0.4146119505146469
""
../factor model/10_Industry_Portfolios_Monthly.csv,200701,200912,201201,SAA_CVaR,24,1.287175608678643,3.610861704118847,0.3564732504738091,0.4166666666666667,2.2579849961481995,4.49548096765578,0.44203959291741163
../factor model/10_Industry_Portfolios_Monthly.csv,200701,200912,201201,Popescu 2007,24,1.2473230211827637,3.3294191902260724,0.3746368209940151,0.4583333333333333,1.7610136683207536,3.4322573902244935,0.41399043095909493
""
../factor model/10_Industry_Portfolios_Monthly.csv,200701,200912,201201,Popescu 2 cluster portfolios (3factor),24,1.2924130925073853,3.313416389832457,0.390054535998941,0.375,2.1500644504688826,3.608590523141527,0.40341768970921815
../factor model/10_Industry_Portfolios_Monthly.csv,200701,200912,201201,Popescu 3 cluster portfolios (3factor),24,1.3411198392309764,3.2846824829426144,0.40829512325633416,0.375,2.1072355163678664,3.6357956196060774,0.40280339071306437
