filepath,start_time,train_test_split,end_time,method,number of sample,test_return_mean,test_return_std,Sharper ratio,Loss_Probability,Conditional Loss,VaR,CVaR
../factor model/17_Industry_Portfolios_Daily.csv,20090101,20131231,20150101,naive policy 1/N portfolios,252,0.034647525676937456,0.7752010039522587,0.044694892679823274,0.42063492063492064,0.6560044395116538,1.3246470588235293,0.0957703081232493
""
../factor model/17_Industry_Portfolios_Daily.csv,20090101,20131231,20150101,Markowitz_revised gamma = 0.1,252,0.06542402646512802,0.7439572783585346,0.08794056912714049,0.45634920634920634,0.5422776657707779,1.1012338249553375,0.08588408661652365
../factor model/17_Industry_Portfolios_Daily.csv,20090101,20131231,20150101,Markowitz_revised gamma = 0.5,252,0.06249286152551942,0.6544353546829866,0.09549126751532461,0.44047619047619047,0.48951567357429615,0.9225201262698446,0.07711438672466046
../factor model/17_Industry_Portfolios_Daily.csv,20090101,20131231,20150101,Markowitz_revised gamma = 0.9,252,0.06386060908916981,0.6441876131062676,0.09913355642036402,0.44047619047619047,0.4804393283534372,0.9250690903466996,0.07576695003414108
""
../factor model/17_Industry_Portfolios_Daily.csv,20090101,20131231,20150101,SAA_CVaR,252,0.06241289566715644,0.6330191085940524,0.09859559501414843,0.43253968253968256,0.4811247832732373,0.9785127461640691,0.07497456032645078
../factor model/17_Industry_Portfolios_Daily.csv,20090101,20131231,20150101,Popescu 2007,252,0.06586418426793787,0.6349592765016445,0.10372977717692622,0.44047619047619047,0.4708291017541424,0.9317070051411642,0.07479981533400962
""
../factor model/17_Industry_Portfolios_Daily.csv,20090101,20131231,20150101,Popescu 2 cluster portfolios (3factor),252,0.0648179401872492,0.6196415968934087,0.10460553408973162,0.43253968253968256,0.4691835555393493,0.9206017149925911,0.07251625957796133
../factor model/17_Industry_Portfolios_Daily.csv,20090101,20131231,20150101,Popescu 3 cluster portfolios (3factor),252,0.06246347593363114,0.6444193660591865,0.09692985534499626,0.40476190476190477,0.5237749019957658,1.029202511834555,0.07717432393064828
../factor model/17_Industry_Portfolios_Daily.csv,20090101,20131231,20150101,Popescu 4 cluster portfolios (3factor),252,0.05639532046877819,0.6539648552490664,0.08623601102738111,0.42063492063492064,0.5173234954038559,1.04581643655797,0.0786977813681018
""
../factor model/17_Industry_Portfolios_Daily.csv,20090101,20131231,20150101,Popescu 2 cluster portfolios (return),252,0.0641618489282713,0.6167952980898068,0.10402454287018444,0.4365079365079365,0.4627590874685589,0.9151713544820916,0.07209719193439826
../factor model/17_Industry_Portfolios_Daily.csv,20090101,20131231,20150101,Popescu 3 cluster portfolios (return),252,0.05713966405107721,0.6366149256549526,0.08975545773183317,0.4126984126984127,0.5130876589038988,0.9902903164675113,0.07681648354365199
../factor model/17_Industry_Portfolios_Daily.csv,20090101,20131231,20150101,Popescu 4 cluster portfolios (return),252,0.04623668022930682,0.658139267016438,0.07025364166297646,0.42857142857142855,0.525446605022793,1.0234686087791827,0.08016691180537766
""
filepath,start_time,train_test_split,end_time,method,number of sample,test_return_mean,test_return_std,Sharper ratio,Loss_Probability,Conditional Loss,VaR,CVaR
../factor model/17_Industry_Portfolios_Daily.csv,20100101,20141231,20160101,naive policy 1/N portfolios,252,-0.016946778711484617,1.0051900378618221,-0.01685927841817131,0.5277777777777778,0.7319106590004423,1.571735294117647,0.11794351073762839
""
../factor model/17_Industry_Portfolios_Daily.csv,20100101,20141231,20160101,Markowitz_revised gamma = 0.1,252,0.02985217954680208,0.977598008978319,0.030536252398877518,0.4603174603174603,0.7714455449903722,1.5648825777319888,0.11052022098401365
../factor model/17_Industry_Portfolios_Daily.csv,20100101,20141231,20160101,Markowitz_revised gamma = 0.5,252,0.018660927734798296,0.8682639526430387,0.021492229037026706,0.4801587301587302,0.6532458389931463,1.3716307989645586,0.1006590683794579
../factor model/17_Industry_Portfolios_Daily.csv,20100101,20141231,20160101,Markowitz_revised gamma = 0.9,252,0.017577833828906063,0.8554558748981335,0.020547914094340876,0.47619047619047616,0.6512586191806391,1.3611300814014053,0.09952145796488468
""
../factor model/17_Industry_Portfolios_Daily.csv,20100101,20141231,20160101,SAA_CVaR,252,0.014020112632787206,0.8352766388767862,0.016784993115143674,0.48412698412698413,0.645216400666006,1.317380578377998,0.09622551315701251
../factor model/17_Industry_Portfolios_Daily.csv,20100101,20141231,20160101,Popescu 2007,252,0.016436588664988563,0.8455505198075802,0.019438919709645494,0.503968253968254,0.6148197399391047,1.331989771776767,0.09844283372988546
""
../factor model/17_Industry_Portfolios_Daily.csv,20100101,20141231,20160101,Popescu 2 cluster portfolios (3factor),252,0.021354035191317896,0.8563197769369225,0.024936987053717035,0.49603174603174605,0.6236637740494942,1.340430117756192,0.0978435685414428
../factor model/17_Industry_Portfolios_Daily.csv,20100101,20141231,20160101,Popescu 3 cluster portfolios (3factor),252,0.015343813101089137,0.883817855172505,0.01736083177239535,0.5,0.6471450759591739,1.3629959557651175,0.10057034032668408
../factor model/17_Industry_Portfolios_Daily.csv,20100101,20141231,20160101,Popescu 4 cluster portfolios (3factor),252,0.012431565920390665,0.9080681978133133,0.013690123660675131,0.5,0.6677378802550114,1.4147187510701635,0.10297588146073888
""
../factor model/17_Industry_Portfolios_Daily.csv,20100101,20141231,20160101,Popescu 2 cluster portfolios (return),252,0.017362984930306885,0.8509476844025646,0.020404291883698033,0.503968253968254,0.6154153338091986,1.3324012859625096,0.09714215476144722
../factor model/17_Industry_Portfolios_Daily.csv,20100101,20141231,20160101,Popescu 3 cluster portfolios (return),252,0.006584620859560952,0.889380049501867,0.007403607561524383,0.5119047619047619,0.6482410110048599,1.4097126460940155,0.1003002324528945
../factor model/17_Industry_Portfolios_Daily.csv,20100101,20141231,20160101,Popescu 4 cluster portfolios (return),252,-0.0023122577893634434,0.9218569764977745,-0.0025082608781114165,0.5119047619047619,0.6830917627330911,1.4687298485700577,0.10478058117657678
""
filepath,start_time,train_test_split,end_time,method,number of sample,test_return_mean,test_return_std,Sharper ratio,Loss_Probability,Conditional Loss,VaR,CVaR
../factor model/17_Industry_Portfolios_Daily.csv,20110101,20151231,20170101,naive policy 1/N portfolios,252,0.06766946778711487,0.9316058953700881,0.07263744049218647,0.45634920634920634,0.6928429667519181,1.494176470588235,0.11108216619981326
""
../factor model/17_Industry_Portfolios_Daily.csv,20110101,20151231,20170101,Markowitz_revised gamma = 0.1,252,-0.0025721662165604205,0.74169640264601,-0.003467950238647767,0.4801587301587302,0.5646275725000538,1.3017057564122578,0.09107028171270161
../factor model/17_Industry_Portfolios_Daily.csv,20110101,20151231,20170101,Markowitz_revised gamma = 0.5,252,0.024374077875854053,0.7083045340005933,0.034411861996966456,0.47619047619047616,0.5320193049130549,1.2264582908970536,0.08436442422742178
../factor model/17_Industry_Portfolios_Daily.csv,20110101,20151231,20170101,Markowitz_revised gamma = 0.9,252,0.0299520297628125,0.7122887298687429,0.042050405273619744,0.47619047619047616,0.5323967927912874,1.2529256999934693,0.08427299110559475
""
../factor model/17_Industry_Portfolios_Daily.csv,20110101,20151231,20170101,SAA_CVaR,252,0.03905142978665371,0.7228507337239366,0.05402419609574308,0.44841269841269843,0.5738821354560464,1.2813185093686141,0.08560248930049369
../factor model/17_Industry_Portfolios_Daily.csv,20110101,20151231,20170101,Popescu 2007,252,0.03582094941827655,0.7184837157828984,0.049856313555059664,0.46825396825396826,0.5428288670466478,1.2275937333937836,0.0850004152359688
""
../factor model/17_Industry_Portfolios_Daily.csv,20110101,20151231,20170101,Popescu 2 cluster portfolios (3factor),252,0.03319861495046617,0.691969376589948,0.04797700024540138,0.4444444444444444,0.54985890056149,1.135586860847472,0.0795952649641175
../factor model/17_Industry_Portfolios_Daily.csv,20110101,20151231,20170101,Popescu 3 cluster portfolios (3factor),252,0.04384764496847091,0.7401688090941512,0.05924006041558743,0.43253968253968256,0.5737589339774645,1.1052935381600508,0.08932286542376262
../factor model/17_Industry_Portfolios_Daily.csv,20110101,20151231,20170101,Popescu 4 cluster portfolios (3factor),252,0.044257970523847764,0.7561636799203129,0.05852961693229146,0.44047619047619047,0.5699731325621599,1.12064591243983,0.09151205034953933
""
../factor model/17_Industry_Portfolios_Daily.csv,20110101,20151231,20170101,Popescu 2 cluster portfolios (return),252,0.04282819487891691,0.7001085918872786,0.06117364559612845,0.45634920634920634,0.5363073482076928,1.156847187731889,0.08001832126371831
