Date,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other
19260701,0.02,-0.28,-0.23,0.57,-0.21,-0.02,-0.01,0.97,0.61,0.21
19260702,0.29,1.07,0.81,0.64,0.36,0.26,0.01,0.13,0.47,0.11
19260706,0.24,0.72,0.22,0.17,0.47,0.17,-0.23,0.23,0.73,-0.19
19260707,0.27,0.06,0.23,-0.04,-0.1,0.32,-0.58,0.33,0.17,0.15
19260708,0.69,0.05,0.15,0.12,0.35,0.4,-0.36,0.91,-0.2,0.39
19260709,-0.39,-1.15,-1.1,-1.6,-0.73,0.21,0.4,-0.28,-0.74,-0.25
19260710,0.67,1.23,0.78,0.65,0.39,0.07,0.52,-0.17,0.55,0.56
19260712,0.27,0.78,0.25,-1.27,0.03,0.15,0.27,0.22,0.23,0.37
19260713,-0.46,1.92,0.74,0.37,1.64,0.03,0.32,0.57,0.2,0.28
19260714,-0.36,0.65,0.37,-0.54,0.95,-0.01,0.25,0.09,0.52,-0.23
19260715,0,-0.74,-0.32,-0.11,-1.19,-0.2,-0.76,-0.45,-0.38,-0.59
19260716,0.11,2.41,0.92,0.5,0.76,0.06,0.06,0.23,0.32,0.06
19260717,0.6,1.22,0.33,0.08,0.93,-0.16,0.75,0.38,0.24,0.03
19260719,-0.01,0.64,0.18,-0.4,0.33,-0.01,0.33,-0.78,0.29,-0.27
19260720,-0.45,-0.36,-0.79,-0.52,-1.26,0.01,-1.47,-0.57,0.08,-0.38
19260721,-0.46,-0.95,-0.48,-1.2,-1.05,-0.05,-0.12,-0.52,-0.28,-0.35
19260722,-0.41,-1.02,-0.91,-0.7,-0.84,-0.13,-1.13,-0.68,-0.4,-0.77
19260723,-0.07,-0.34,-0.16,0.16,0.2,-0.31,-0.05,0.53,0.26,0.11
19260724,-0.05,-0.44,-0.08,-0.08,-0.66,-0.5,-0.29,-0.33,-0.15,0.15
19260726,0.42,1.07,0.66,0.42,0.63,0.79,0.32,0.44,-0.04,0.44
19260727,0.09,0.9,0.6,0.76,0.31,0.13,0.42,-0.13,0.34,0.3
19260728,0.65,2.58,1.31,1.24,1.13,0.27,1.73,0.11,1,0.62
19260729,-0.34,3.45,1.06,-0.14,-0.1,-0.08,-0.36,0.48,0.51,-0.24
19260730,0.25,-0.01,0.1,-0.33,0.39,-0.25,0.17,0.1,0.86,0.53
19260731,-0.05,1.24,0.03,0.18,0.21,-0.32,-0.02,0.04,1.65,1.12
19260802,0.35,3.18,0.58,1.71,-0.01,1.18,0.52,0.72,-0.2,0.4
19260803,0.71,2.82,1.53,-0.75,-0.01,-0.37,0.66,1.06,-0.29,0.1
19260804,-0.26,-2.23,-0.26,-0.22,0.72,-0.23,-0.01,-0.44,0.45,-0.48
19260805,0.11,-1.16,-0.07,-0.28,0.25,0.38,-0.09,-0.08,0.75,-0.1
19260806,0.69,1.39,0.74,0.49,-0.09,0.1,0.68,0.87,-0.05,1.15
19260807,0.24,2.37,0.98,-0.04,0.27,0.2,0.54,-0.04,-0.15,0.1
19260809,0.36,1.43,0.79,-1.32,0.56,0.07,0.48,0.18,-0.22,0.27
19260810,-0.56,-4.25,-2.01,-0.64,-1.31,0.09,-1.39,-1.01,-1.16,-1.19
19260811,-0.2,-1.41,-0.74,-0.37,-0.57,-0.07,0.07,0.05,-0.89,-0.59
19260812,0.32,1.11,0.76,0.45,1.75,-0.09,0.76,-1.02,0.59,1.59
19260813,0.16,0.35,0.83,0.82,1.9,0.3,0,-0.68,-0.11,0.65
19260814,0.48,1.12,1.03,1.09,1.25,0.23,0.78,0.58,0.58,0.04
19260816,-0.07,-0.34,0.46,-0.09,-1.05,0.52,-0.2,1.16,0.02,0.35
19260817,-0.28,-2.01,-1.22,-1.06,-0.94,0.12,-1.37,-0.19,-0.72,-0.81
19260818,-0.14,0.92,0.05,0.31,0.33,0.2,-0.09,0.79,-0.18,0.6
19260819,-0.66,-1.44,-1,0.08,-0.19,-0.03,-0.93,-0.1,-0.42,-0.59
19260820,-0.11,0.04,-0.42,0.04,-0.47,-0.18,-0.4,-0.04,-0.24,-0.12
19260821,0.24,0.35,0.6,0.34,0.44,0,0.21,0.71,0.18,0.24
19260823,0.17,2.46,0.57,-0.06,0.14,-0.1,0.49,0.27,0.04,0.57
19260824,0.03,-1.31,-1.34,-0.68,-0.91,-0.17,-1.85,-0.3,-0.54,-0.72
19260825,-0.36,-0.27,-0.76,-0.16,-0.42,-0.21,-0.24,0.02,-0.3,-0.04
19260826,0.51,0.68,0.63,0.47,0.28,-0.08,0.57,0.03,0.5,0.69
19260827,0.62,0.16,0.21,0.79,0.02,0.23,0.09,0.51,0.3,0.29
19260828,0.82,0.02,0.65,0.29,0.26,0.16,0.22,1,0.38,0.04
19260830,0.29,-0.68,-0.33,2.15,0.37,-0.15,-0.77,-0.35,-0.09,0.57
19260831,0.5,0.69,0.62,0.15,0.17,0.06,0.62,0.46,0.09,1.35
19260901,0.81,0.51,0.46,-0.1,1.08,0.32,1.11,0.54,1.53,0.54
19260902,-0.54,0.43,-0.07,-0.32,-0.71,0.16,0.1,0.3,0.3,0.24
19260903,-0.14,0.66,0.44,0.27,0.37,0.53,-0.34,0.03,1.24,1
19260907,0.63,1.7,0.86,0.55,0.62,0.59,2.23,0.57,-0.15,-0.22
19260908,0.22,-0.34,-0.68,-0.74,-0.33,0.33,-1.18,-0.69,-0.34,-0.78
19260909,-0.01,-0.17,-0.05,-0.11,0.2,0.09,0.34,-0.23,-0.49,-0.09
19260910,-0.27,-1.12,-0.63,-1.39,-0.97,0.16,-0.78,-0.64,-0.58,-1
19260911,-0.08,-0.83,-0.68,-0.48,-0.65,0.06,-0.4,-0.38,-0.26,-0.32
19260913,-0.09,-0.19,0.12,-0.05,0.35,-0.18,-0.3,0.59,0.26,-0.09
19260914,0.69,2.73,0.77,0.67,0.76,-0.06,0.94,0.51,0.63,0.96
19260915,-0.25,0.2,-0.05,-0.02,-0.28,-0.12,-0.6,-0.06,-0.42,-0.43
19260916,0.15,0.65,-0.3,-0.58,-0.55,0.08,-0.24,-0.2,-0.57,-0.17
19260917,-0.7,-1.33,-1.3,-0.83,-0.8,-0.33,-1.43,-0.4,-1.01,-0.95
19260918,0.27,1.12,0.66,0.63,0.65,0.1,0.52,0.25,0.35,1.17
19260920,-0.13,-0.01,-0.79,-0.82,-2.15,-0.28,-0.76,-0.28,-0.71,-0.55
19260921,0.35,0.07,0.92,-0.2,0.85,-0.11,0.14,-0.09,0.29,0.22
19260922,-0.08,-1.17,-0.3,0.92,-0.49,0.26,-0.42,0.04,0.27,-0.26
19260923,-0.2,0.34,0.15,0.42,0.19,0.42,0.18,1.48,0.56,0.36
19260924,0.08,0.93,0.74,0.4,0.86,0.15,1.65,0.49,0.81,0.61
19260925,0.64,0.5,0.14,-0.47,0.9,0.55,-0.23,0.01,0.46,0.22
19260927,-0.29,0.02,-0.17,0.04,-0.52,0.1,-0.01,-0.38,-0.28,-0.07
19260928,0,0.49,0.26,-0.64,-0.16,-0.12,-0.36,-0.26,0.49,0.03
19260929,-0.26,-0.87,0.09,-0.54,-0.19,-0.04,-0.31,-0.04,-0.18,-0.37
19260930,0.33,0.68,0.59,0,0.64,-0.27,0.44,-0.44,-0.13,0.28
19261001,0.29,2.58,1.52,0.06,0.22,-0.03,1.05,0.65,0.29,0.44
19261002,0,0.13,-0.18,-0.04,0.06,0.17,-0.41,0.12,-0.22,-0.16
19261004,-0.9,-2.03,-1.77,-0.91,-1.87,-0.22,-1.27,-0.63,-1.51,-1.55
19261005,-0.75,-0.88,-1.32,-0.85,-1.01,-0.24,-0.66,-1.1,-1.02,-1.7
19261006,-0.59,-0.71,-0.54,-0.45,-0.47,-0.14,-0.62,-1.19,-0.62,-0.58
19261007,-0.65,-2.2,-0.47,-0.47,-0.9,-0.23,-0.04,-0.89,-1.66,-0.61
19261008,0.43,0.2,0.67,0.73,0.53,-0.14,1.47,2.06,0.97,0.57
19261009,-0.59,-1.67,-1.27,-0.2,-1.19,-0.17,-1.69,0.16,-0.79,-1.07
19261011,-0.53,-2.12,-0.82,-0.42,-0.74,-0.09,-0.12,-0.89,-0.76,-0.43
19261013,0.46,1.34,1.21,0.35,0.66,0.39,-0.52,0.31,0.52,0.87
19261014,1.46,0.58,1.05,0.76,1.05,0.37,0.84,0.76,0.6,1.3
19261015,-1.42,-3.13,-2.35,-1.13,-2.51,0.04,-1.95,-0.48,-1.53,-1.92
19261016,-0.59,-2.1,-0.97,-0.36,-0.11,-0.03,-1.41,-0.47,-0.26,-0.6
19261018,0.17,1.36,0.84,0.34,0.9,-0.45,1.19,-0.37,1.74,0.78
19261019,-0.69,-2.53,-1.42,-0.65,-1.2,0.03,-1.55,0.14,-0.96,-0.77
19261020,-0.33,0.01,-0.68,-0.62,0.98,0.12,1.36,-0.73,-0.27,-0.41
19261021,1.16,2.19,1.85,1.07,1.6,0.44,1.76,0.75,1.04,1.97
19261022,0.3,-1.25,-0.27,-0.27,-0.69,-0.1,-1.27,0.12,-0.27,-0.39
19261023,0.78,1.07,0.7,0.73,-0.07,-0.01,1,0.87,0.4,0.25
19261025,-0.18,-0.51,-0.42,0.39,0.39,-0.05,-0.49,0.17,-0.05,0.04
19261026,0.08,0.28,0.5,-0.02,-0.16,0.1,1.04,-0.27,0.36,0.59
