Date,Food ,Mines,Oil  ,Clths,Durbl,Chems,Cnsum,Cnstr,Steel,FabPr,Machn,Cars ,Trans,Utils,Rtail,Finan,Other
19260701,-0.25,0.21,0.66,1.91,-0.81,-0.43,0.04,0.37,-0.53,0.85,-0.17,-0.05,0.2,0.01,-0.15,0.9,0.45
19260702,0.17,-0.58,0.78,-0.77,-0.05,1.02,0.27,0.85,0.87,-1.3,0.32,0.93,-0.34,0.55,-0.19,0.58,0.4
19260706,-0.2,0.47,-0.35,-0.15,-1.25,0.92,0.59,-0.07,0.12,1.53,0.39,0.28,0.05,0.56,0.28,0.16,0.21
19260707,-0.4,-0.29,-0.45,0.35,0.24,0.52,-0.53,0.23,0.01,0.58,-0.53,0.02,-0.15,0.06,-0.66,-0.97,1.02
19260708,0.94,-0.28,0.6,0.92,-0.17,-0.15,0.9,1.65,1.12,-0.68,0.62,0.33,0.19,0.03,-0.35,-0.38,0.21
19260709,-0.33,-0.43,-0.55,-0.04,-1.08,-1.06,-0.4,-0.34,-1.06,-1.2,-0.2,-0.92,-0.05,-0.56,0.48,0.08,-0.56
19260710,0.45,-0.05,0.8,0.46,0.89,0.13,0.16,-0.44,1.37,1.63,-0.29,0.27,0.57,0.41,-0.06,0.43,0.24
19260712,0.27,-0.04,-1.45,-1.29,0.66,-0.88,0.44,-0.06,0.09,-0.44,1.04,0.54,0.19,0.26,0.31,-0.62,0.36
19260713,0.21,1.39,0.07,1.5,1.61,0.93,-0.17,1.39,0.52,-0.12,0.52,1.01,-0.07,0.58,0.49,0.94,-0.03
19260714,-0.33,0.1,-0.65,-0.47,1.71,0.9,0.04,0.4,0,0.14,0.65,-0.11,-0.23,0.51,0.29,0.21,-0.18
19260715,0.08,0.78,-0.35,0.26,0.25,-0.67,-0.45,-0.33,0.55,-1.08,0.22,-0.39,-0.47,-0.47,-0.03,-0.83,0.01
19260716,0.62,0.44,1.95,-0.55,-0.23,-0.08,0.33,-0.11,0.32,1.5,0.51,1.22,-0.15,0.54,0.3,0.14,0.12
19260717,0.14,-0.03,-0.14,0.16,0.79,0.52,1.03,1,0.34,-0.03,0.49,0.46,0.58,0.11,0.63,-0.42,-0.14
19260719,-0.03,0.66,-0.37,-0.77,-0.34,0.33,0.39,0.57,1.41,-1.39,0.74,0.27,-0.8,0.27,0.23,-0.32,-0.41
19260720,-0.48,-0.46,-0.05,-0.6,0.35,-0.51,-0.5,-0.82,-2.37,0.33,-0.8,-0.77,-0.12,0.03,-0.98,-0.2,-0.67
19260721,-0.78,-0.45,-2.05,1.3,0.58,-0.46,-1.27,-0.44,0.63,-1.2,-0.85,-0.81,-0.1,-0.51,0,-0.27,-0.43
19260722,-0.46,-1.4,-0.31,-1.36,-1.37,-0.92,-0.67,-1.17,-0.61,0.49,-0.32,-1.4,-1.3,-0.69,-1.11,0.31,-0.55
19260723,-0.18,1.02,0.28,-0.18,-0.89,-0.8,0.84,-0.78,0.62,0.72,-0.34,-0.19,0.11,0.2,0.52,0.09,-0.52
19260724,0.25,0.28,-0.14,1.75,-0.13,0.18,-0.19,0.87,0.51,-0.35,-0.18,-0.14,-0.06,-0.18,0.27,0.26,0.8
19260726,0.17,0.22,-0.12,0.21,-0.7,0.09,0.42,-0.26,0.05,0.19,0.74,0.32,-0.18,-0.12,0.13,-0.39,0.81
19260727,0.17,-0.51,0.73,-1.32,0.7,0.41,-0.1,0.07,0.27,0.06,-0.63,1.57,0.52,0.39,0.07,0.51,0.45
19260728,1.2,1.67,1,2.19,-0.15,1.36,0.05,1.32,0.62,0.7,1.16,0.72,0.85,1,1.49,1.03,1.2
19260729,-0.46,-0.33,-2.01,-1.1,0.81,-0.19,0.26,0.51,0.28,1.03,-0.28,0.4,-0.85,0.44,-0.09,-0.2,-0.15
19260730,-0.53,0.05,-0.09,0.11,-0.4,0.61,0.2,-0.24,-0.19,-0.69,-0.26,0.45,1.27,-0.19,0.03,0.22,-0.53
19260731,0.37,0.23,2.11,-0.14,0.21,-0.46,0.55,0.15,0.06,-0.32,0.39,0.93,0.42,1.63,-0.14,-0.66,0.04
19260802,0.86,-0.01,1.56,0.33,-0.18,0.99,0.24,1,0.57,0.51,0.46,1.33,1.33,-0.29,-0.1,0.61,0.94
19260803,0.91,0.53,-0.57,0.47,0.18,-0.15,0.64,0.68,0.72,1.65,-0.39,1.36,-0.19,-0.27,0,8.16,0.95
19260804,0.08,-0.2,-0.16,-0.66,-0.71,-0.35,-0.79,-0.73,-0.18,-1.27,1.12,-0.38,-0.24,0.32,0.48,0.04,0.22
19260805,0.98,-0.66,0.13,-0.28,-0.06,0.29,-0.16,-0.21,0.31,-0.26,2.49,-0.75,-0.3,0.61,0.41,-0.28,-0.02
19260806,1.26,0.96,0.29,-0.03,-0.44,0.8,0.9,1.15,-0.11,0.87,0.53,0.05,1.28,0.08,0.44,-0.35,1.44
