Date,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other
192607,1.45,15.55,4.69,-1.18,2.9,0.83,0.11,1.77,7.04,2.16
192608,3.97,3.68,2.81,3.47,2.66,2.17,-0.71,4.25,-1.69,4.38
192609,1.14,4.8,1.15,-3.39,-0.38,2.41,0.21,0.69,2.04,0.29
192610,-1.24,-8.23,-3.63,-0.78,-4.58,-0.11,-2.29,-0.57,-2.63,-2.85
192611,5.21,-0.19,4.1,0.01,4.71,1.63,6.43,5.42,3.71,2.11
192612,0.82,9.89,3.74,2.82,-0.02,1.99,0.62,0.11,-0.17,3.4
192701,-0.67,-0.92,-0.08,1.29,-1.13,1.88,-2.55,5.05,-1.79,1.51
192702,3.37,8.91,5.81,1.47,4.45,3.97,3.61,1.71,4.53,5.06
192703,2.73,1.62,1.43,-6.01,1.45,5.56,-0.41,1.01,0.37,1.27
192704,3.35,3.15,0.77,-5.17,5.4,-2.13,4.46,2.74,1.71,0.86
192705,8.14,5.93,5.07,4.82,7.37,3.35,2.34,4.12,9.21,6.43
192706,-1.79,-3,-2.77,-3.16,3.28,-2.14,-0.62,0.54,-3.57,-2.11
192707,4.81,13.09,12.07,2.85,12.16,3.73,9.84,9.84,5.31,6.09
192708,2.76,6.98,2.89,-0.04,5.71,0.43,7.34,0.28,3.43,-1.06
192709,5.24,5.67,4.76,3.32,1.21,6.53,7.5,5.65,8.29,4.6
192710,-0.8,-4.38,-6.69,-2.04,-7.23,-2.09,-4.93,5.13,-4.34,-3.79
192711,6.83,6.39,10.84,4.16,10.8,2.83,11.67,3.68,6.32,4.5
192712,2.47,7.77,3.08,0.89,1.22,1.33,-0.68,-0.46,2.24,1.98
192801,0.52,-3.34,-0.58,-1.86,-0.39,0.3,-0.88,2.69,5.87,-0.99
192802,-4.18,1.26,-1.88,-0.22,-0.46,-0.3,-1.12,-1.38,-0.68,-2
192803,4.41,27.49,8.19,5.32,19.42,1.96,8.49,10.54,6.62,6.09
192804,-0.46,1.46,1.5,15.12,2.23,3.22,0,2.35,10.94,4.22
192805,0.9,5.65,3.53,-5.29,2.3,6.61,3.79,9.27,1.51,0.01
192806,-4.41,-4.08,-4.93,-4.07,-5.03,-5.22,-3.4,-3.15,-3.43,-4.27
192807,1.68,0.94,1.99,1.05,0.65,-1.28,5.44,2.39,-1.24,-0.36
192808,6.11,9.04,8.67,2.41,9.75,4.55,13.53,14.57,6.46,4.75
192809,1.14,7.88,4.17,5.34,0.66,0.15,0.17,-1.14,3.76,1.98
192810,0.9,0.08,4.33,2.04,1.85,2.97,5.9,0.05,-1.89,-0.42
192811,6.62,4.51,13.08,17.23,19.56,6.68,15.29,5.05,21.93,10.02
192812,-0.52,-1.22,3.09,-4.36,7.13,-0.38,-1.32,-0.41,1.57,0.45
192901,3.38,1.3,11,-7.59,10.46,13.38,-3.88,3.43,13.17,5.59
192902,-2.62,-0.03,3.42,-0.1,-0.71,-1.15,-2.41,0.05,-1.99,0.02
192903,-4.62,-1.88,-1.83,11.03,4.5,4.29,-5.13,-1.5,-3.17,-2.16
192904,1.8,-0.98,2.29,0.74,1.78,3.39,3.75,1.48,5.13,0.44
192905,-3.93,-15.05,-9.78,-5.57,0.33,-8.77,-8.65,-7.84,4.8,0.03
192906,5.36,7.01,13.51,1.14,17.18,13.7,9.47,4.52,23.47,5.73
192907,3.23,-2.95,4.09,0.16,9.24,13.68,0.96,2.59,9.14,6.61
192908,4.77,3,9.43,11.36,12.54,10.98,7.8,3.09,9.05,7.82
192909,-3.6,-8.35,-7.17,-2.95,-7.56,-1.37,-5.38,-7.02,1.32,-6.44
192910,-10.64,-28.94,-19.61,-10.07,-27.73,-15.39,-24,-18.02,-30.04,-11.88
192911,-8.45,-17.31,-14.13,-6.42,-19.24,-9.47,-12.59,-7.9,-14.64,-9.58
192912,0.7,4.9,1.5,-1.18,10.78,1.01,-5.98,1.11,7.94,-0.49
193001,5.7,5.95,6.9,-0.76,10.61,1.2,4.73,2.55,7.25,4.76
193002,2.15,2.44,2.14,-4.49,7.75,7.06,-5.13,3.15,8.57,3.29
193003,2.12,11.37,6.88,17.94,8.12,8.79,-2.44,5.99,9.72,4.79
193004,0.55,-7.81,-7.42,6.55,1.97,-4.52,2.6,-1.27,3.34,-6.55
193005,1.36,4.12,-1.74,-3.73,-4.4,0.4,-0.16,-1.49,-1.33,-0.93
193006,-11.04,-22.27,-16.41,-15.47,-19.74,-8.34,-16.15,-13.34,-19.06,-11.82
193007,3.14,12.1,4.75,5.18,4.07,1.27,2.7,6.52,4.06,3.46
193008,1.98,-1.89,-0.06,-3.2,2.21,1.74,4.96,7.71,1.18,-0.36
193009,-8.96,-16.73,-13.7,-15.46,-18.24,-5.27,-10.91,-8.7,-11.92,-10.56
193010,-4.85,-11.64,-9.91,-8.37,-17.35,-4.12,-8.61,-4.37,-8.28,-8.43
193011,0.18,5.37,-0.42,-3.72,-3.26,-3.27,2.74,-3.23,-8.74,-5.17
193012,-4.59,-1.26,-8.21,-12.32,-10.76,-3.8,-13.44,-6.79,-3.69,-8.81
193101,5.4,8.02,3.47,5.31,5.24,4.79,7.19,8.23,5.53,11.83
193102,6.81,17.37,12.85,5.77,22.38,5.95,14.79,7.81,15.27,5.52
193103,-1.69,-3.81,-6.77,-14.26,-7.76,-3.58,-3.27,1.8,-2.94,-9.41
193104,-5.29,-7.87,-14.15,-13.45,-13.04,-4.25,-4.84,-3.62,-9.04,-9.88
193105,-11.01,-16.08,-16.42,-12.54,-12.92,-8.94,-3.27,-10.26,-11.15,-17.44
193106,10.73,14.63,17.38,17.57,18.69,10.21,7.86,9.69,11,16.34
193107,-3.81,-2.1,-10.23,-3.63,-10.38,-4.87,-1.53,2.61,-5.39,-9.91
193108,-0.65,-2.78,-0.15,9.48,3.71,0.82,3.02,0.39,-1.74,-3.9
193109,-24.69,-34.8,-29.82,-29.84,-33.87,-21.56,-30.24,-29.45,-33.05,-26.5
193110,6.89,12.96,6.18,14.02,11.3,4.34,13.97,11.26,10.48,1.88
193111,-4.35,-3.49,-8.31,-8.69,-14.16,-6.86,-9.4,-2.79,-4.77,-19.2
193112,-9.51,-8.78,-15.33,-18.91,-13.54,-7.94,-15.17,-4.1,-13.24,-16.48
193201,2.06,-6.9,-0.5,-4.86,-11.42,-4.04,0.79,-2.66,-2.52,6.71
193202,5.37,2.09,5.96,8.75,6.28,11.63,4.11,2.05,7.04,-0.19
193203,-5.98,-22.18,-14.36,-1.1,-14.41,-9.9,-9.27,-6.41,-9.57,-15.99
193204,-11.35,-29.53,-22.95,-13.94,-24.17,-12.39,-15.71,-19.77,-15.5,-22.36
193205,-21.22,-18.59,-18.19,-5.56,-28.6,-10.81,-29.4,-34.08,-26.82,-30.03
193206,1.16,-7.82,-2.52,5.94,6.99,-9.55,-0.59,11.05,1.45,-2.01
193207,24.7,44.95,41.74,35.13,44.2,16.7,27.11,29.18,29.35,55.78
193208,22.71,45.25,46.41,19.49,45.64,28.17,32.91,35.87,43.46,58.75
193209,-0.86,8.5,-2.45,-10.16,-5.6,0.24,3.06,-11.92,-4.65,-4.13
193210,-11.41,-24.75,-15.83,-3.79,-19.04,-8.13,-12.68,-18.56,-10.82,-18.01
193211,-7.1,-2.71,-10.3,-4.53,-8.25,-1.12,-5.61,5.53,-3.6,-6.88
193212,3.81,4.47,3.25,0.05,7.53,3.67,5,6.82,9.12,4.9
193301,4.66,0.83,3.42,-3.01,1.43,0.31,-2.4,-1.13,-4.38,8.54
193302,-9.06,-24.48,-17.53,-13.9,-20.09,-7.77,-17.96,-10.82,-19.85,-16.42
193303,10.37,9.23,11.26,4.39,6.23,-5.85,8.53,-3.16,-12.79,3.8
193304,34.17,79.79,57.2,38.99,53.49,13.22,42.45,37.13,25.36,30.73
193305,12.71,26.05,26.03,17.71,19.82,17.37,17.06,23.49,19.29,31.5
193306,10.34,20.75,12.41,12.5,10.82,10.5,16.26,10.39,15.58,14.51
193307,-6.61,-7.05,-11.36,-12.05,-11.07,-4.36,-13.46,-19.11,-13.58,-6.67
193308,9.86,20.76,16.21,19.07,12.89,4.53,7.15,-0.38,-1.23,14.6
193309,-7.45,-15.32,-10.09,-2.69,-17.14,-3.56,-8.74,-1.31,-19.74,-16.41
193310,-9.12,-10.06,-8.02,-4.85,-9.73,-7.18,-7.83,-6.02,-7.5,-10.84
193311,5.21,25.38,12.73,14.69,12.83,5.63,14.45,9.4,-2.39,5.34
193312,-3.39,10.45,4.61,-1.27,1.49,-3.75,4.57,-11.73,1.05,4.7
193401,10.02,13.2,11.09,8.73,16.08,5.97,17.3,16.77,20.52,18.55
193402,-4.98,-2.06,-3.16,-3.38,-6.31,2.12,3.03,-3.59,-1.69,-1.89
193403,1.17,-0.3,-1.25,-1.33,3.18,1.27,2.4,-0.64,-1.8,0.83
193404,3.1,-6.85,-2.75,-1.99,-2.33,-1.25,-1.21,8,-3.75,-1.65
193405,-3,-12.82,-10.06,-4.64,-6.6,-4.3,-7.92,-0.38,-7.73,-7.35
193406,3.85,-2.75,4.25,1.2,2.79,1.32,2.43,2.04,4.26,3.1
193407,-5.12,-13.83,-11.56,-9.73,-11.89,-4.34,-8.35,-1.89,-17.24,-17.28
193408,4.22,10.87,7.52,6.12,6.59,2.56,4.72,-3.05,2.04,4.44
193409,0.23,0.68,-1.13,-2.32,-0.32,1.9,2.55,0.8,1.61,-0.35
193410,0.61,-2.08,-0.46,-4.69,-0.93,-1.56,1.68,-0.71,-7.61,-2.21
193411,8.49,17.61,12.63,7.03,13.52,-1.73,9.61,4.07,-0.25,5.63
193412,-0.94,3.56,2.21,0.68,3.66,-0.59,-1.04,0.62,-8.66,-0.17
193501,-1.41,-9.03,-2.39,-4.37,1.13,-0.46,-5.27,-0.86,-3.16,-6.71
193502,1.61,-3.27,-1.8,-3.35,0.19,1.04,-0.62,4.25,-12.16,-4.7
193503,-4.62,-5.82,-4.79,-3.82,-4.14,-0.72,-4.33,-3.14,12.34,-5.32
193504,5.72,5.73,8.96,15.48,10.24,9.13,6.47,3.18,11.14,8.75
193505,1.1,2.96,1.86,3.51,2.65,8.38,2.53,-4.02,13.76,3.89
193506,5.51,9.78,6.51,1.51,8.34,5.35,6.28,4.09,9.11,6.32
193507,3.14,19.08,10.78,0.13,9.6,5.74,7.51,3.19,9.22,7.27
193508,-1.56,9.01,3.25,-1.89,3.21,4.07,3.09,0.29,7.21,3.39
193509,1.69,11.09,4.22,-3.33,7.75,4.28,-0.57,1.11,-2.03,0.63
193510,4.48,13.63,5.85,13.52,8.8,3.11,1.22,5.97,14.13,2.4
193511,1.1,3.49,4.58,2.78,5.82,9.72,2.92,1.74,0.82,13.19
193512,2.08,5.8,3.69,14.09,3.51,-0.16,-1.02,2.35,5.62,4.3
193601,3.24,3.89,5.6,14.06,6.49,4.17,-2.81,3.46,12.53,12.15
193602,0.61,3.74,5.56,1.26,0.34,6.57,0.99,3.45,-6.59,2.79
193603,-2.08,10.19,2.44,1.75,-0.05,-3.37,1.14,3.52,0.64,-2.96
193604,-4.45,-10.15,-8.93,-10.28,-8.63,-5.66,-5.24,-9.19,-8.34,-7.43
193605,4.96,4.06,6.2,-0.57,5.22,6.46,6.7,4.8,9.52,7.4
193606,2.32,6.86,1.29,1.73,1.3,2.43,5.29,1.29,3.62,1.78
193607,2.97,4.91,7.69,4.74,12.05,2.44,6.21,4.65,11.59,9.65
193608,0.84,-0.28,1.65,-0.67,2.41,1.76,2.49,-1.48,-1.03,1.83
193609,-0.66,3.26,2.07,1.39,-1.25,0.33,2.94,0.77,-2.05,0.89
193610,3.37,5.08,7.73,12.48,5.75,5.09,11.22,3.78,5.72,8.11
193611,4.53,-1.37,5.44,1.48,5.5,3.87,11,3.4,-2.86,0.49
193612,-1.42,-7.24,1.93,9.24,2.63,-0.4,-8.14,-2.04,-1.63,-1.18
193701,2.45,7.27,4.6,2.41,8.62,-0.85,0.07,3.47,2.61,1.04
193702,0.89,-0.5,2.66,1.49,-1.32,-3.06,3.06,-3.72,-4.19,4.76
193703,-1.01,-4.13,1.35,3.39,-4.49,-2.09,-2.73,-5.03,-6.32,2.68
193704,-6.38,-7.9,-9.16,-5.3,-7.62,-5.25,-7.24,-3.32,-7.47,-6.83
193705,-0.44,-1.97,1,-0.24,0.8,1.53,-4.54,1.68,-5.27,-3.33
193706,-3.24,-10.77,-3.61,-2.66,-1.46,1.39,-1.59,-4.12,-5.26,-8.94
193707,5.07,13.23,9.21,8.42,9.55,3.27,10.33,4.14,19.32,8.74
193708,-2.47,-2.27,-4.43,-6.57,-4.76,-2.54,-4.27,1.09,-10.18,-8.34
193709,-9.12,-12.67,-17.45,-13.21,-14.12,-2.1,-14.1,-10.76,-11.75,-15.89
193710,-7.06,-12.88,-13.87,-6.95,-7.19,-5.36,-7.04,-3.55,-4.88,-10.13
193711,-5.86,-15.24,-9.32,-11.48,-4.59,-3.59,-14.36,-5.12,2.9,-6.85
193712,-2.27,-16.27,-2.42,-1.25,-2.2,-1.54,-6.55,-2.41,-10.69,-6.63
