Date,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other,Mkt-Rf
199701,0.0558,0.0316,0.0425,0.0432,0.0938,0.0234,0.0017,0.0955,0.009,0.0604,-0.0165
199702,0.0409,0.0035,0.0081,-0.0569,-0.0744,0.0228,0.0308,0.0094,-0.0057,0.026,0.052
199703,-0.0512,-0.0394,-0.0374,0.0521,-0.0555,-0.076,-0.0129,-0.074,-0.0276,-0.0589,0.0381
199704,0.0519,0.0231,0.0534,0.0005,0.0815,0.0254,0.0221,0.0616,-0.0139,0.0523,-0.0007
199705,0.0589,0.0667,0.0781,0.0733,0.1014,0.0664,0.0604,0.0691,0.0377,0.0625,-0.0387
199706,0.0353,0.039,0.0521,0.0131,0.0134,0.0378,0.0502,0.0889,0.0306,0.0537,0.0123
199707,0.0335,0.0746,0.0715,0.074,0.1596,0.0275,0.0778,0.0206,0.0281,0.0923,0.0082
199708,-0.0625,0.0137,-0.0555,0.0024,-0.013,-0.0228,-0.0257,-0.0614,-0.0116,-0.0479,0.0138
199709,0.0556,0.0534,0.0331,0.063,0.0347,0.0968,0.0519,0.0662,0.0465,0.0791,0.0001
199710,-0.0314,-0.033,-0.0588,-0.0201,-0.0842,0.0333,-0.022,0.0026,0.0094,-0.0263,0.0195
199711,0.0645,-0.0163,0.0422,-0.0355,0.0146,0.1026,0.0535,0.0286,0.0714,0.0302,0.0079
199712,0.0378,0.041,-0.0025,-0.0151,-0.0418,0.0456,-0.0024,0.0355,0.0797,0.0534,0.0345
199801,-0.0289,0.0055,0.0072,-0.0573,0.0525,0.0484,0.0091,0.0573,-0.0437,-0.0212,-0.0145
199802,0.0514,0.1228,0.0712,0.0683,0.1042,0.0262,0.1038,0.0544,0.0265,0.0819,-0.0013
199803,0.0572,0.0624,0.0488,0.048,0.0133,0.0981,0.0655,0.0361,0.0677,0.0579,0.0105
199804,-0.031,0.0099,0.0125,0.038,0.0508,-0.0303,-0.0038,0.0192,-0.0251,0.0182,0.0074
199805,0.0108,0.072,-0.0247,-0.042,-0.0695,-0.0165,0.0214,-0.0247,-0.0088,-0.0301,0.0416
199806,0.038,0.018,-0.0057,-0.0136,0.0873,0.0321,0.0481,0.0618,0.0284,0.0313,-0.0233
199807,-0.0407,-0.0132,-0.0577,-0.0679,0.0047,0.0383,-0.031,-0.0022,-0.0534,-0.0171,-0.0096
199808,-0.1299,-0.1917,-0.1429,-0.1041,-0.176,-0.1174,-0.1424,-0.1226,0.0225,-0.2136,0.034
199809,0.013,0.0155,0.0057,0.1301,0.152,0.1002,0.0148,0.12,0.0798,0.0268,-0.0331
199810,0.108,0.1171,0.1119,0.0128,0.0635,0.0682,0.1056,0.0386,-0.0176,0.0898,-0.0221
199811,0.0633,0.0484,0.0359,0.0045,0.1162,0.0367,0.0955,0.0618,0.0135,0.062,-0.0315
199812,0.0051,0.0426,0.0233,-0.0116,0.1525,0.1432,0.0897,0.0502,0.0283,0.036,-0.0446
199901,-0.0341,0.0543,0.0056,-0.0551,0.1509,0.0879,0.0236,0.0024,-0.0626,0.0111,-0.0403
199902,-0.0378,-0.0431,-0.0195,-0.0317,-0.1146,-0.0292,-0.015,0.0022,-0.0378,-0.0001,0.014
199903,-0.0196,-0.0084,0.0475,0.1542,0.0851,-0.0066,0.0279,0.0255,-0.0169,0.0241,-0.0265
199904,0.0376,0.1033,0.0927,0.1591,0.0236,0.0833,0.0051,-0.0553,0.0718,0.0677,0.0253
199905,0.0141,-0.0554,-0.0317,-0.0313,-0.0067,0.0103,-0.0288,-0.0205,0.0672,-0.0352,0.024
199906,0.0033,0.0059,0.0456,-0.0148,0.1172,0.0585,0.0792,0.0449,-0.0429,0.0324,-0.036
199907,-0.0248,-0.0597,-0.011,0.0165,-0.018,-0.0161,-0.0502,-0.0444,-0.0061,-0.0606,-0.0076
199908,-0.0463,0.0112,-0.0036,0.0186,0.0545,-0.0757,-0.0597,0.0372,0.0062,-0.0512,-0.0131
