Date,Food ,Mines,Oil  ,Clths,Durbl,Chems,Cnsum,Cnstr,Steel,FabPr,Machn,Cars ,Trans,Utils,Rtail,Finan,Other
19260701,0.03,0.3,0.62,0.14,-1.09,0.56,0.04,0.3,-0.62,-0.79,-0.12,-0.15,0.09,0.61,-0.01,0.6,-0.01
19260702,0.11,0.36,0.71,-0.16,-0.57,1.01,0.6,-0.03,1.18,0.96,0.38,1.09,0.05,0.47,0.01,-0.02,0.38
19260706,0.05,-0.19,0.17,0.37,-1.9,0.21,0.47,0.38,0.17,0.68,0.51,0.88,-0.16,0.73,-0.23,0.08,0.16
19260707,0.54,-0.17,-0.03,0.18,-0.06,0.83,-0.12,-0.1,-0.03,2.36,-0.12,0.04,0.13,0.17,-0.58,-0.18,0.42
19260708,0.94,0.34,0.09,0.75,-0.28,-0.14,0.42,0.35,-0.07,-0.5,0.48,0.01,0.46,-0.2,-0.36,-0.42,0.49
19260709,-0.41,-0.57,-1.65,-0.09,-1.33,-1.61,-0.45,-0.72,-0.99,-2.08,-0.67,-1.09,-0.31,-0.74,0.41,0.04,-0.16
19260710,1.14,0.6,0.62,0.43,1.11,0.7,-0.03,-0.1,0.89,2.13,0.4,1.23,0.62,0.55,0.52,0.33,0.22
19260712,0.24,-0.04,-1.35,-0.03,0.56,0.48,0.32,0.12,0.28,-0.71,0.14,0.8,0.39,0.23,0.27,-0.54,0.16
19260713,-0.75,0.76,0.41,0.21,1.98,1.25,-0.12,1.09,0.93,0.32,1.32,1.91,0.11,0.2,0.33,0.89,0.19
19260714,-0.82,0.4,-0.58,0.01,1.75,0.28,0.14,1.14,0.33,-0.17,0.89,0.71,-0.25,0.52,0.25,0.2,-0.06
19260715,-0.06,0.19,-0.22,0.04,-0.32,-0.52,0.01,-0.21,-0.18,-1.37,-0.9,-0.74,-0.58,-0.38,-0.76,-0.64,-0.34
19260716,0.17,0.1,0.56,-0.35,0.42,1.12,0.18,-0.26,0.89,4.65,0.69,2.58,0.09,0.32,0.06,-0.09,0.23
19260717,0.54,-0.02,0.05,0.51,0.42,0.47,0.76,0.99,0.2,0.37,0.92,1.42,0.06,0.24,0.75,-0.71,-0.15
19260719,-0.09,1.24,-0.52,-0.32,-0.48,-0.33,0.17,0.19,0.33,-1.19,0.27,0.85,-0.28,0.29,0.34,-0.29,-0.1
19260720,-0.77,-0.6,-0.51,-0.09,-0.57,-0.92,-0.22,-0.84,-1,-1.27,-1.08,-0.22,-0.32,0.08,-1.47,-0.06,-0.22
19260721,-0.29,-0.41,-1.24,-0.63,0.11,-0.73,-0.74,-0.08,-0.19,-1.15,-0.86,-1.02,-0.46,-0.28,-0.13,-0.03,-0.2
19260722,-0.66,-0.96,-0.64,0.19,-1.32,-0.17,-0.26,-1.22,-1.38,1.7,-0.81,-1.04,-0.84,-0.4,-1.12,-0.23,-0.32
19260723,-0.01,0.34,0.16,0.12,-1.22,-0.62,-0.07,-0.24,0,0.65,0.11,-0.26,0.06,0.26,-0.05,0.33,-0.3
19260724,0.01,-0.03,-0.09,0.4,-0.29,-0.19,-0.28,0.45,0.03,0.02,-0.57,-0.42,0.1,-0.15,-0.29,0.23,-0.4
19260726,0.38,0.5,0.38,0.26,-0.67,1.2,0.48,0.03,0.49,-0.06,0.64,1.21,0.53,-0.04,0.32,-0.03,0.76
19260727,0.07,0.33,0.83,0.45,0.95,1.07,-0.04,0.12,0.49,0.56,0.46,0.88,0.25,0.34,0.42,0.38,0.28
19260728,0.78,1.14,1.32,1.09,-0.08,1.27,0.25,0.75,1.29,3.81,1.19,2.63,0.53,1,1.73,0.94,0.68
19260729,-0.49,-0.46,-0.09,0.01,1.29,2.54,-0.14,0.56,0.86,0.96,0.03,3.7,-0.23,0.51,-0.35,-0.2,0.11
19260730,-0.06,0.42,-0.47,3.24,-0.23,-0.16,-0.09,-0.18,0.38,-0.86,0.29,0.02,0.66,0.86,0.18,0.25,-0.4
19260731,-0.12,0.15,0.16,-0.76,0.3,0.66,0.33,-0.15,-0.24,-0.25,0.18,1.33,1.2,1.65,-0.03,-0.44,-0.18
19260802,0.6,0.67,1.83,0.22,-0.13,1.6,0,0.62,0.4,1.1,-0.14,3.48,0.32,-0.2,0.5,0.58,1.1
19260803,1.24,0.2,-0.74,-0.59,-0.06,2.12,0.45,0.36,2.09,0.33,0,3.18,-0.08,-0.29,0.64,2.82,-0.06
19260804,-0.15,0.04,-0.26,0.52,-0.45,-0.59,-0.67,-0.69,-0.4,1,0.69,-2.38,-0.5,0.45,-0.01,-0.07,-0.22
19260805,0.33,-0.42,-0.31,-0.05,-0.17,-0.47,-0.14,0,-0.15,-0.56,0.46,-1.25,-0.04,0.75,-0.09,-0.32,0.26
19260806,0.92,0.47,0.53,0.23,-0.41,1.32,0.56,1.56,0.55,-0.04,0.06,1.44,1.08,-0.05,0.7,-0.18,0.54
19260807,0.3,0.13,-0.07,0.02,-0.6,1.84,0.12,2.41,0.76,0.48,0.38,2.72,0.15,-0.15,0.52,0.34,0.07
19260809,0.29,0.17,-1.41,0.65,0.69,0.98,0.13,0.16,1.16,1,0.5,1.53,0.32,-0.22,0.49,-0.4,0
19260810,-0.81,-0.82,-0.66,0.2,-1.27,-3.5,-0.51,-1.31,-1.82,-2,-1.38,-4.68,-1.18,-1.16,-1.34,-0.89,-0.22
19260811,-0.22,-0.61,-0.38,-0.66,-1.41,-0.75,-0.06,-0.61,-0.91,-1.94,-0.33,-1.44,-0.63,-0.89,0.07,-0.03,-0.16
19260812,0.41,0.71,0.39,0.7,1.09,1.14,-0.02,0.44,0.73,1.66,1.37,1.19,1.7,0.59,0.78,0.1,0.01
