Date,Food ,Mines,Oil  ,Clths,Durbl,Chems,Cnsum,Cnstr,Steel,FabPr,Machn,Cars ,Trans,Utils,Rtail,Finan,Other
192607,0.46,2.65,-2.57,-0.1,1.33,1.2,2.05,4.2,3.05,0.61,2.06,4.77,-0.69,4.85,1.46,0.44,1.99
192608,4.72,1.16,3.85,4.54,0.75,3.55,4.1,0.85,-0.58,-0.49,5.57,-1.11,4.96,-2,0.63,8.84,4.81
192609,1.66,1.44,-4.93,-5.08,1.27,1.85,2.5,-1.06,2.28,-3.1,0.52,-3.39,0.06,2.06,-1.2,-2.55,-2.09
192610,-4.79,5.73,0.23,0.46,-5.02,-9.15,-1.41,-6.49,-4.98,-3.92,-4.52,-10.66,-2.79,-2.98,-2.44,-4.4,-3.5
192611,7.04,1.13,2.92,2.77,0.12,4.98,8.35,2.91,1.81,1.36,-0.75,-0.73,1.38,5.71,1.72,-0.27,-0.47
192612,-1.39,-1.38,6.39,2.5,4.23,2.59,1.96,3.37,2.17,2.22,2.93,5.14,2.18,1.72,3.06,2.4,2.59
192701,-1.77,1.19,5.17,-1.29,2.76,1.31,0.72,-6.33,0.13,1.9,3.38,-2.74,6.38,-0.44,-1.89,-3.88,0.55
192702,4.12,4.26,3.63,1.84,1.8,5.61,4.09,4.67,8.23,3.16,7.24,6.94,8.91,4.88,4.82,4.25,5.93
192703,-4.63,0.43,-11.35,-2.92,-3.96,-4.93,0.94,4.19,-3.19,-0.1,0.98,-2.85,0,2.19,-0.91,-0.23,-0.69
192704,0.34,1.82,-4.87,3.36,0.53,3.27,2.38,1.73,-0.18,4.6,2.1,-1.68,1.75,1.69,4.53,2.72,-0.38
192705,8.19,5.76,4.93,6.93,5.31,4.38,6.19,3.07,4.46,11.48,4.33,3.88,11.54,9.29,2.44,8.22,4.48
192706,-1.65,-4.99,1.88,-4.4,-6.39,5.54,0.48,-3.02,-5.9,4.42,0.07,-4.14,-0.43,-3.3,-0.81,-1.34,-7.57
192707,5.35,8.92,1.12,9.02,2.23,7.97,6.12,3.07,8.52,9.69,6.44,6.27,3.42,4.18,5.99,3.08,10.28
192708,1.75,2.15,-3.53,-0.34,0.54,3.6,1.05,-3.84,0.42,-1.4,-1.49,1.63,-1.91,6.17,3.52,2.16,1.19
192709,3.41,2.83,4.76,2.24,2.24,-1.19,3.02,3.24,0.02,-2.87,1.3,-1.74,3.03,9.42,4.4,5.19,6.5
192710,-2.39,-6.26,-4.02,-0.37,-5.95,-5.05,1.74,-2.47,-7.35,-0.19,-3.44,-3.55,-6.29,-4.68,-2.99,1.57,-2.29
192711,9.46,16.53,9.09,2.99,-2.69,10.36,8.3,4.13,23.3,13.31,11.94,13.96,6.55,5.96,9.64,8.04,9.3
192712,6.39,3.19,2.17,-0.28,8.2,8.74,0.41,3.46,6.94,0.12,3.01,8.07,0.62,1.8,0.46,7.93,0.53
192801,4.47,8.19,0.73,5.22,-1.78,-1.31,3.59,10.23,7.35,2.53,4.01,-1.66,-0.34,8.76,3.12,4.18,3.79
192802,-2.7,-2.64,-1.57,-0.72,-1.57,-1.66,-2.46,1.28,-2.17,-1.82,-3.34,-3.74,-3.46,-1.63,0.03,-3.32,-3.39
192803,5.55,7.09,7.3,3.44,16.95,8.09,4.7,4.51,8.16,9.24,6.63,17.02,5.92,4.95,4.59,7.67,7.43
192804,5.26,4.29,32.35,5.2,-1.04,6.1,0.35,4.7,5.12,8.48,13.54,7.28,7.7,10.94,5.02,11.99,4.02
192805,4.39,7.8,-5.14,0.17,-0.55,1.54,0.87,1.79,10.03,5.12,5.22,11.41,2.03,1.7,5.07,6.18,5.87
192806,-7.17,-9.23,-5.58,-8.33,-13.24,-5.69,-5.07,-7.77,-8.2,-7.08,-3.45,-11.23,-5.34,-3.82,-5.6,-7.64,-8
192807,0.03,-0.49,2.44,-1.31,-1.67,3.39,2.38,-2.24,-0.14,1.61,-0.45,0.93,-1.51,-1.09,4.28,-0.06,0.11
192808,6.93,1.32,2.01,0.87,4.71,6.06,7.93,4.12,10.89,8.48,3.28,11.78,3.59,5.72,8.21,6.14,8.11
192809,2.35,4.63,9.17,5.17,7.47,6.28,1.7,5.05,10.06,3.82,5.97,9.81,2.45,4.94,3.17,8.81,3.37
192810,-0.03,2.67,4.62,7.02,-1.72,-0.2,6.04,1.05,6.04,1.67,0.86,1.48,-3.09,-2.22,4.14,4.07,-0.17
192811,10.67,11.07,15.52,7.13,15.97,10.88,6.88,10.08,16.23,7.8,14.77,11.96,10.46,18.29,9.21,11.85,10.03
